,Title,Author,Abstract,Link,Number,Date
BOARD2023-013,"Household, Bank, and Insurer Exposure to Miami Hurricanes: a flow-of-risk analysis",Benjamin N. Dennis,"We analyze possible future financial losses in the event of hurricane damage to Miami residential real estate, where the hurricane's destructiveness reflects climate-change. We focus on three scenarios: (i) a business-as-usual scenario, (ii) a Hurricane-Ian-spillovers scenario, and (iii) a cautious-markets scenario. We quantify bank exposures and loss rates, where exposures are proportional to the size of real estate markets and loss rates depend on post-hurricane devaluations and insurance coverage. This quantitative methodology could complement modeling of local economy impacts, stress on public finances, asset market losses, and other financial developments that will also affect banks.",https://www.federalreserve.gov/econres/feds/household-bank-and-insurer-exposure-to-miami-hurricanes-a-flow-of-risk-analysis.htm,2023-013,Feb-23
BOARD2023-039,The FOMC's Use of Operational Targets: 85 Years and Counting,"Jeffrey Huther, Elizabeth Klee, Kevin Kiernan, and Ethan Rodriguez-Shah","This paper uses summaries of the Federal Open Market Committee’s (FOMC’s) meetings to identify its operational targets and map those to operating regimes. We find that operational targets were more often discussed in the earlier part of the FOMC’s 85-year history, but recent years have seen a resurgence in discussions. We identify distinct operating regimes and find that regimes with discussions of multiple targets, usually rate and quantity pairs, are more common than regimes dominated by discussions of single targets. We document that the current period (the 2007-2009 financial crisis to today) is a notable break in operational targets from earlier periods. We also show that shifts in operational targets occur during recoveries, or after a significant downturn in the macroeconomy.",https://www.federalreserve.gov/econres/feds/the-fomcs-use-of-operational-targets-85-years-and-counting.htm,2023-039,Jun-23
BOARD2023-27,Financial and Macroeconomic Data Through the Lens of a Nonlinear Dynamic Factor Model,"Pablo A. Guerrón Quintana, Alexey Khazanov, Molin Zhong","Through the lens of a nonlinear dynamic factor model, we study the role of exogenous shocks and internal propagation forces in driving the fluctuations of macroeconomic and financial data. The proposed model 1) allows for nonlinear dynamics in the state and measurement equations; 2) can generate asymmetric, state-dependent, and size-dependent responses of observables to shocks; and 3) can produce time-varying volatility and asymmetric tail risks in predictive distributions. We find evidence in favor of nonlinear dynamics in two important U.S. applications. The first uses interest rate data to extract a factor allowing for an effective lower bound and nonlinear dynamics. Our estimated factor coheres well with the historical narrative of monetary policy. We find that allowing for an effective lower bound constraint is crucial. The second recovers a credit cycle. The nonlinear component of the factor boosts credit growth in boom times while hinders its recovery post-crisis. Shocks in a credit crunch period are more amplified and persist for longer compared with shocks during a credit boom.",https://www.federalreserve.gov/econres/feds/financial-and-macroeconomic-data-through-the-lens-of-a-nonlinear-dynamic-factor-model.htm,2023-27,May-23
BOARD2023-004,"Earnings Business Cycles: The Covid Recession, Recovery, and Policy Response","Jeff Larrimore, Jacob Mortenson, and David Splinter","Using a panel of tax data, we follow the earnings of individuals over business cycles. Compared to prior recessions, the Covid policy response and recovery were far more progressive. Among workers starting in the bottom quintile, median real earnings including fiscal relief increased 66 percent in 2020 and earnings increases offset relief decreases in the 2021 recovery. After the prior two recessions, this measure had decreased by 24 percent. Among those starting in the top quintile, median and average real earnings were approximately unchanged. This difference from prior recessions is largely attributable to larger Covid-era stimulus payments and unemployment insurance.",https://www.federalreserve.gov/econres/feds/earnings-business-cycles-the-covid-recession-recovery-and-policy-response.htm,2023-004,Jan-23
BOARD2023-001,"Bad News, Good News: Coverage and Response Asymmetries","Luca Gambetti, Nicolò Maffei-Faccioli, and Sarah Zoi","We study the dynamic link between economic news coverage and the macroeconomy. We construct two measures of media coverage of bad and good unemployment figures based on three major US newspapers. Using nonlinear time series techniques, we document three facts: (i) there is no significant negativity bias in economic news coverage. The asymmetric responsiveness of newspapers' coverage to positive and negative unemployment shocks is entirely explained by the effects of these shocks on unemployment itself; (ii) consumption reacts to bad news, but not to good news; (iii) bad news is more informative to the agents and affects their expectations more than good news.",https://www.federalreserve.gov/econres/feds/bad-news-good-news-coverage-and-response-asymmetries.htm,2023-001,Jan-23
BOARD2023-032,Recovery of 1933,"Margaret M. Jacobson, Eric M. Leeper, and Bruce Preston","When Roosevelt abandoned the gold standard in April 1933, he converted government debt from a tax-backed claim to gold to a claim to dollars, opening the door to unbacked fiscal expansion. Roosevelt followed a state-contingent fiscal rule that ran nominal-debt-financed primary deficits until the price level rose and economic activity recovered. Theory suggests that government spending multipliers can be substantially larger when fiscal expansions are unbacked than when they are tax-backed. VAR estimates using data on ""emergency"" unbacked spending and ""ordinary"" backed spending confirm this prediction and find that primary deficits made quantitatively important contributions to raising both the price level and real GNP after 1933. VAR evidence does not support the conventional monetary explanation that gold revaluation and gold inflows, which raised the monetary base, drove the recovery independently of fiscal actions.",https://www.federalreserve.gov/econres/feds/recovery-of-1933.htm,2023-032,May-23
BOARD2023-046,"Termination of SNAP Emergency Allotments, Food Sufficiency, and Economic Hardships",Kabir Dasgupta and Alexander Plum,"To meet the rising need for food and nutrition assistance during the pandemic in the United States, all states were approved to provide Emergency Allotments (EA) to households enrolled in the Supplemental Nutrition Assistance Program (SNAP). In this analysis, we use the Census Bureau’s Household Pulse Surveys and exploit staggered state-level variation in dissolution of the SNAP EA payments to study whether the end of EA is associated with food-related challenges and economic hardships. Our findings indicate that EA termination is followed by a decrease in the likelihood that adult survey respondents had sufficient food for consumption and an increase in the probability of experiencing difficulty in paying meeting with usual household expenses. These findings provide policy-relevant insights into the potential impact of the nationwide termination of the EA payments that came into effect in early 2023.",https://www.federalreserve.gov/econres/feds/termination-of-snap-emergency-allotments-food-sufficiency-and-economic-hardships.htm,2023-046,Jul-23
BOARD2023-002,Welfare and Spending Effects of Consumption Stimulus Policies,"Christopher Carroll, Edmund Crawley, Ivan Frankovic, and Håkon Tretvoll","Using a heterogeneous agent model calibrated to match measured spending dynamics over four years following an income shock (Fagereng, Holm, and Natvik (2021)), we assess the effectiveness of three fiscal stimulus policies employed during recent recessions. Unemployment insurance (UI) extensions are the clear ""bang for the buck"" winner, especially when effectiveness is measured in utility terms. Stimulus checks are second best and have the advantage (over UI) of being scalable to any desired size. A temporary (two-year) cut in the rate of wage taxation is considerably less effective than the other policies and has negligible effects in the version of our model without a multiplier.",https://www.federalreserve.gov/econres/feds/welfare-and-spending-effects-of-consumption-stimulus-policies.htm,2023-002,Jan-23
BOARD2023-016,Contagion in Debt and Collateral Markets,"Jin-Wook Chang, Grace Chuan","This paper investigates contagion in financial networks through both debt and collateral markets. We find that the role of collateral is mitigating counterparty exposures and reducing contagion but has a phase transition property. Contagion can change dramatically depending on the amount of collateral relative to the debt exposures. When there is an abundance of collateral (leverage is low), then collateral can fully cover debt exposures, and the network structure does not matter. When there is an adequate amount of collateral (leverage is moderate), then collateral can mitigate counterparty contagion, and having more links in the network reduces contagion, as interlinkages act as a diversifying mechanism. When collateral is not enough (leverage is high) and agents in the network are too interconnected, then the collateral price can plummet to zero and the whole network can collapse. Therefore, we show the importance of the interaction between the level of collateral and interconnectedness across agents. The model also provides the minimum collateral-to-debt ratio (haircut) to attain a robust macroprudential state for a given network structure and aggregate state.",https://www.federalreserve.gov/econres/feds/contagion-in-debt-and-collateral-markets.htm,2023-016,Apr-23
BOARD2023-026,"Less Bank Regulation, More Non-Bank Lending","Mary Chen, Seung Jung Lee, Daniel Neuhann, Farzad Saidi",Bank deregulation in the form of the repeal of the Glass-Steagall Act facilitated the entry of non-bank lenders into the market for syndicated loans during the pre-2008 credit boom. Institutional investors disproportionately purchase tranches of loans originated by universal banks able to cross-sell loans and underwriting services to firms (as permitted by the repeal). A shock to cross-selling intensity increases loan liquidity at origination and over time. The mechanism is that non-loan exposures ensure monitoring even when banks retain small loan shares. Our findings complement the conventional view that regulatory arbitrage caused the rise of non-bank lenders.,https://www.federalreserve.gov/econres/feds/less-bank-regulation-more-non-bank-lending.htm,2023-026,May-23
BOARD2023-045,Aggregate Implications of Deviations from Modigliani-Miller: A Sufficient Statistics Approach,Robert Kurtzman and David Zeke,"A few sufficient statistics can identify the aggregate effects of distortions to firm investment in a class of general equilibrium models that can accommodate rich general equilibrium effects including endogenous firm entry. This result does not depend on the microfoundation of the distortion; one can generate inferences about aggregate effects that apply for multiple microfoundations or in cases where a fully specified model is difficult to solve. To demonstrate the relevance of the methodology, we use it to quantify the aggregate consequences of costly external equity financing and a manager-shareholder friction, relying on estimates from the corporate finance literature to identify the sufficient statistics. The results elucidate differences between partial and general equilibrium findings and demonstrate how labor supply elasticities, complementarities in production, and firm entry interact with the different firm-level distortions.",https://www.federalreserve.gov/econres/feds/aggregate-implications-of-deviations-from-modigliani-miller-a-sufficient-statistics-approach.htm,2023-045,Jul-23
BOARD2023-005,"Beyond ""Horizontal"" and ""Vertical"": The Welfare Effects of Complex Integration","Margaret Loudermilk, Gloria Sheu, Charles Taragin","We study the welfare impacts of mergers in markets where some firms are already vertically integrated. Our model features logit Bertrand competition downstream and Nash Bargaining upstream. We numerically simulate four merger types: vertical mergers between an unintegrated retailer and an unintegrated wholesaler, downstream ""horizontal"" mergers between an unintegrated retailer and an integrated retailer/wholesaler, upstream ""horizontal"" mergers between an unintegrated wholesaler and an integrated retailer/wholesaler, and integrated mergers between two integrated retailer/wholesaler pairs. We find that mergers that have both horizontal and vertical characteristics typically harm consumers. We apply the model to the Republic/Santek merger as a real-world example.",https://www.federalreserve.gov/econres/feds/beyond-horizontal-and-vertical-the-welfare-effects-of-complex-integration.htm,2023-005,Jan-23
BOARD2023-038,Inflation and Real Activity over the Business Cycle,"Francesco Bianchi, Giovanni Nicolò, Dongho Song","We study the relation between inflation and real activity over the business cycle. We employ a Trend-Cycle VAR model to control for low-frequency movements in inflation, unemployment, and growth that are pervasive in the post-WWII period. We show that cyclical fluctuations of inflation are related to cyclical movements in real activity and unemployment, in line with what is implied by the New Keynesian framework. We then discuss the reasons for which our results relying on a Trend-Cycle VAR differ from the findings of previous studies based on VAR analysis. We explain empirically and theoretically how to reconcile these differences.",https://www.federalreserve.gov/econres/feds/inflation-and-real-activity-over-the-business-cycle.htm,2023-038,Jun-23
BOARD2023-015,Breaks in the Phillips Curve: Evidence from Panel Data,"Simon C. Smith, Allan Timmermann, Jonathan Wright","We revisit time-variation in the Phillips curve, applying new Bayesian panel methods with breakpoints to US and European Union disaggregate data. Our approach allows us to accurately estimate both the number and timing of breaks in the Phillips curve. It further allows us to determine the existence of clusters of industries, cities, or countries whose Phillips curves display similar patterns of instability and to examine lead-lag patterns in how individual inflation series change. We find evidence of a marked flattening in the Phillips curves for US sectoral data and among EU countries, particularly poorer ones. Conversely, evidence of a flattening is weaker for MSA-level data and for the wage Phillips curve. US regional data and EU data point to a kink in the price Phillips curve which remains relatively steep when the economy is running hot.",https://www.federalreserve.gov/econres/feds/breaks-in-the-phillips-curve-evidence-from-panel-data.htm,2023-015,Apr-23
BOARD2023-017,Racial Unemployment Gaps and the Disparate Impact of the Inflation Tax,"Mohammed Ait Lahcen, Garth Baughman, and Hugo van Buggenum","We study the nonlinearities present in a standard monetary labor search model modified to have two groups of workers facing exogenous differences in the job finding and separation rates. We use our setting to study the racial unemployment gap between Black and white workers in the United States. A calibrated version of the model is able to replicate the difference between the two groups both in the level and volatility of unemployment. We show that the racial unemployment gap rises during downturns, and that its reaction to shocks is state-dependent. In particular, following a negative productivity shock, when aggregate unemployment is above average the gap increases by 0.6pp more than when aggregate unemployment is below average. In terms of policy, we study the implications of different inflation regimes on the racial unemployment gap. Higher trend inflation increases both the level of the racial unemployment gap and the magnitude of its response to shocks.",https://www.federalreserve.gov/econres/feds/racial-unemployment-gaps-and-the-disparate-impact-of-the-inflation-tax.htm,2023-017,Apr-23
BOARD2023-034,More than Words: Twitter Chatter and Financial Market Sentiment,"Travis Adams, Andrea Ajello, Diego Silva, Francisco Vazquez-Grande","We build a new measure of credit and financial market sentiment using Natural Language Processing on Twitter data. We find that the Twitter Financial Sentiment Index (TFSI) correlates highly with corporate bond spreads and other price- and survey-based measures of financial conditions. We document that overnight Twitter financial sentiment helps predict next day stock market returns. Most notably, we show that the index contains information that helps forecast changes in the U.S. monetary policy stance: a deterioration in Twitter financial sentiment the day ahead of an FOMC statement release predicts the size of restrictive monetary policy shocks. Finally, we document that sentiment worsens in response to an unexpected tightening of monetary policy.",https://www.federalreserve.gov/econres/feds/more-than-words-twitter-chatter-and-financial-market-sentiment.htm,2023-034,May-23
BOARD2023-014,Bank Relationships and the Geography of PPP Lending,David Glancy,"I study how bank relationships affected the timing and geographic distribution of Paycheck Protection Program (PPP) lending. Half of banks' PPP loans went to borrowers within 2 miles of a branch, mostly driven by relationship lending. Firms near less active lenders shifted to fintechs and other distant lenders, resulting in delays receiving credit but only slightly lower loan volumes. I estimate a structural model to fit the observed relationship between branch distance, bank PPP activity, and origination timing. I find that banks served relationship borrowers 5 to 9 days before other borrowers, an effect in line with reduced-form estimates using a sample of PPP borrowers with previous SBA lending relationships.",https://www.federalreserve.gov/econres/feds/bank-relationships-and-the-geography-of-ppp-lending.htm,2023-014,Feb-23
