,Title,Author,Abstract,Link,Number,Date,Source
NBER31437,Certification and Recertification in Welfare Programs: What Happens When Automation Goes Wrong?,"['Derek Wu', 'Bruce D. Meyer']","How do administrative burdens influence enrollment in different welfare programs? Who is screened out at a given stage? This paper studies the impacts of increased administrative burdens associated with the automation of welfare caseworker assistance, leveraging a unique natural experiment in Indiana in which the IBM Corporation remotely processed applications for two-thirds of all counties. Using linked administrative records covering nearly 3 million program recipients, the results show that SNAP, TANF, and Medicaid enrollments fell by 15%, 24%, and 4% one year after automation, with these heterogeneous declines largely attributable to cross-program differences in recertification costs. Earlier-treated and higher-poverty counties experienced larger declines in welfare receipt. More needy individuals were screened out at exit while less needy individuals were screened out at entry, a novel distinction that would be missed by typical measures of targeting which focus on average changes overall. The decline in Medicaid enrollment exhibited considerable permanence after IBM's automated system was disbanded, suggesting potential long-term consequences of increased administrative burdens.",https://www.nber.org/papers/w31437,31437,July 2023,NBER
ECB2828,The state-dependent impact of changes in bank capital requirements,"The state -dependent impact of changes in bank capital requirements Jan Hannes Lang , Dominik Menno","Based on a non-linear equilibrium model of the banking sector with an occasionally-binding equity issuance constraint, we show that the economic impact of changes in bank capital requirements depends on the state of the macro-financial environment. In ”normal” states where banks do not face problems to retain enough profits to satisfy higher capital requirements, the impact on bank loan supply works through a ”pricing channel” which is small: around 0.1% less loans for a 1pp increase in capital requirements. In ”bad” states where banks are not able to come up with sufficient equity to satisfy capital requirements, the impact on loan supply works through a ”quantity channel”, which acts like a financial accelerator and can be very large: up to 10% more loans for a capital requirement release of 1pp. Compared to existing DSGE models with a banking sector, which usually feature a constant lending response of around 1%, our state-dependent impact is an order of magnitude lower in ”normal” states and an order of magnitude higher in ”bad” states. Our results provide a theoretical justification for building up a positive countercyclical capital buffer in ”normal” macro-financial environments.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2828~9c4e7428de.en.pdf,2828,"Thu, 13 Jul 2023 11:00:00 +0200",ECB
BIS1099,Who holds sovereign debt and why it matters," Xiang Fang, Bryan Hardy and Karen K Lewis",This paper studies the impact of investor composition on the sovereign debt market.,http://www.bis.org/publ/work1099.htm,1099,2023-05-08T12:00:00Z,BIS
NBER31424,Sparse Modeling Under Grouped Heterogeneity with an Application to Asset Pricing,"['Lin William Cong', 'Guanhao Feng', 'Jingyu He', 'Junye Li']","Sparse models, though long preferred and pursued by social scientists, can be ineffective or unstable relative to large models, for example, in economic predictions (Giannone et al., 2021). To achieve sparsity for economic interpretation while exploiting big data for superior empirical performance, we introduce a general framework that jointly clusters observations (via new decision trees) and locally selects variables (with Bayesian priors) for modeling panel data with potential grouped heterogeneity. We derive analytical marginal likelihoods as global split criteria in our Bayesian Clustering Model (BCM), to incorporate economic guidance, address parameter and model uncertainties, and prevent overfitting. We apply BCM to asset pricing and estimate uncommon-factor models for data-driven asset clusters and macroeconomic regimes. We find (i) cross-sectional heterogeneity linked to (non-linear interactions of) return volatility, size, and value, (ii) structural changes in factor relevance predicted by market volatility and valuation, and (iii) MKTRF and SMB as common factors and multiple uncommon factors across characteristics-managed-market-timed clusters. BCM helps explain volatility- or size-related anomalies, exploit within-group tests, and mitigate the “factor zoo” problem. Overall, BCM outperforms benchmark common-factor models in pricing and investments in U.S. equities, e.g., attaining out-of-sample cross-sectional R2s exceeding 25% for multiple clusters and Sharpe ratio of tangency portfolios tripling built from ME-B/M 5 × 5 portfolios.",https://www.nber.org/papers/w31424,31424,July 2023,NBER
BEAWP2023-1,The Geography of Consumption and Local Economic Shocks: The Case of the Great Recession,"Abe C. Dunn, Mahsa Gholizadeh","We estimate across-county spending flows between firms and consumers for every county in the United States, providing a new consumption link that has not been studied previously. We highlight the importance of this link by estimating the effect of changes in local housing wealth on consumption and employment from 2001 to 2019. We generally find that the effect from changes in housing wealth crosses borders to affect consumption and employment in a pattern consistent with our spending flows. However, we find potential consumers who reside outside the local commuting zone disproportionately affect local spending and employment during the Great Recession.",https://www.bea.gov//research/papers/2023/geography-consumption-and-local-economic-shocks-case-great-recession,WP2023-1,2023-01-20,BEA
FED-BOARD2023-022,The Role of Wages in Trend Inflation: Back to the 1980s?,Michael T. Kiley,"This paper examines whether the measurement of trend inflation can be improved by using wage data in a dynamic factor model of disaggregated prices and wages for the United States. The model features time-varying coefficients and stochastic volatility. An estimate of trend inflation is a time-varying distributed lag of prices and wages, where the weight on a series depends on its time-varying volatility, persistence, and comovement with other series. The results show that wages inform estimates of trend inflation. The weight on wages was highest around 1980, drifted down through the 2000s, and returned to its 1980s value by 2022. In addition, inflation in the 2020s appears to have unmoored moderately from the 2 percent range that prevailed for decades, as the role of the persistent component of inflation increased in recent year. However, accounting for wages lowers the model's view of the increase in the volatility of trend inflation.",https://www.federalreserve.gov/econres/feds/the-role-of-wages-in-trend-inflation-back-to-the-1980s.htm,2023-022,April 2023,FED-BOARD
NBER31472,Education and Later-life Mortality: Evidence from a School Reform in Japan,"['Kazuya Masuda', 'Hitoshi Shigeoka']","We examine the mortality effects of a 1947 school reform in Japan, which extended compulsory schooling from primary to secondary school by as much as 3 years. The abolition of secondary school fees also indicates that those affected by the reform likely came from disadvantaged families who could have benefited the most from schooling. Even in this relatively favorable setting, we fail to find that the reform improved later-life mortality up to the age of 87 years, although it significantly increased years of schooling. This finding suggests limited health returns to schooling at the lower level of educational attainment.",https://www.nber.org/papers/w31472,31472,July 2023,NBER
IMFWPIEA2023149,"Shared Problem, Shared Solution: Benefits from Fiscal-Monetary Interactions in the Euro Area","Robert C. M. Beyer, Rupa Duttagupta, Alexandra Fotiou, Keiko Honjo, Mark A Horton, Zoltan Jakab, Vina Nguyen, Rafael A Portillo, Jesper Lindé, Nujin Suphaphiphat, Li Zeng","This paper employs two established macroeconomic models to show that fiscal policy in the euro area can help monetary policy in reducing inflation. Specifically, a fiscal consolidation of 1 percent of GDP for two years and 0.5 percent in the third year across the euro area would ease the policy interest rate by 30-50 basis points relative to the baseline scenario, while lowering inflation. It would also put the public debt-to-GDP ratio on a downward path, with the output costs reversing after the second year. Additionally, a stronger fiscal contribution to the policy mix could mitigate financial fragmentation risks. In the current context of elevated inflation in all euro area economies, the findings suggest two key takeaways: first, synchronized fiscal and monetary policies offer gains even when monetary policy is unconstrained and, second, sharing the burden of lowering inflation through fiscal consolidation among euro area members is beneficial for union-wide inflation reduction, improving debt sustainability and inducing a lower policy rate path.",https://www.imf.org/en/Publications/WP/Issues/2023/07/21/Shared-Problem-Shared-Solution-Benefits-from-Fiscal-Monetary-Interactions-in-the-Euro-Area-535900,WPIEA2023149,"Fri, 21 Jul 2023 00:00:00 -0400",IMF
FED-BOARD2023-008,Recession Signals and Business Cycle Dynamics: Tying the Pieces Together,Michael T. Kiley,"Examining a parsimonious, yet comprehensive, set of recession signals yields three lessons. First, signals from financial markets, leading indicators of activity, and gauges of the macroeconomic environment are each useful at different horizons, with leading indicators and financial signals informative at short horizons and the state of the business cycle at medium horizons. Second, approaches emphasizing the yield curve overstate the recession signal from the term spread if other factors are not considered; given correlations among indicators, these differences are often small, but were large in 2022. Finally, simulations of a reduced-form vector autoregression of unemployment and financial conditions, which captures the time-series properties of the series well, suggest the patterns are consistent with a typical hump-shape characterization of business cycle dynamics; this synthesis tightens the connections of the recession prediction literature with the business-cycle literature.",https://www.federalreserve.gov/econres/feds/recession-signals-and-business-cycle-dynamics-tying-the-pieces-together.htm,2023-008,January 2023,FED-BOARD
BIS1104,The Crypto Multiplier, Rodney Garratt and Maarten van Oordt,"The exchange rates of cryptocurrencies are highly volatile. This paper provides insight into the source of this volatility by developing the concept of a ""crypto multiplier,"" which measures the equilibrium response of a cryptocurrency's market capitalization to aggregate inflows and outflows of investors' funds.",http://www.bis.org/publ/work1104.htm,1104,2023-06-07T12:00:00Z,BIS
FED-BOARD2023-006,Monetary Policy and Home Buying Inequality,Daniel Ringo,"Does monetary policy influence who becomes a home owner? Home purchases by low- and moderate- income households may be particularly sensitive to mortgage interest rates, as these households' budgets are tighter and they more frequently come up against binding payment-to-income ratio constraints in credit decisions. Exploiting the timing of high-frequency observations of mortgage applicants locking in their interest rates around monetary policy shocks, I find that a 1 percentage point policy-induced increase in mortgage rates lowers the presence of low-income households in the population of home buyers by 1 percentage point, and of low- and moderate-income households by 2 percentage points, immediately following the shock. Effects are substantially stronger among first-time home buyers, and persist for approximately one year.",https://www.federalreserve.gov/econres/feds/monetary-policy-and-home-buying-inequality.htm,2023-006,January 2023,FED-BOARD
NBER31505,"Measuring Financial Integration: More Data, More Countries, More Expectations","['Menzie D. Chinn', 'Hiro Ito']","We assess market mediated financial integration over the last fifty years. We first systematically lay out several definitions of financial integration, and then review the evidence regarding whether covered interest parity, uncovered interest parity, and real interest parity hold across industrial and non-industrial countries. Finally we examine what the determinants of real interest differentials are.",https://www.nber.org/papers/w31505,31505,July 2023,NBER
BEAWP2023-6,Introducing Demographic Labor Market Data into the U.S. National Accounts,Jon D. Samuels,"The U.S. gross domestic product and its foundational National Income and Product Accounts contain some of the most widely used and followed economic statistics in the world yet contain limited information on the labor market and almost no information on demographic groups. We build a new dataset that includes labor market data cross-classified by sex, age, education, and industry and integrate this into the National and Industry Economic Accounts. To overcome small sample size issues for poorly measured demographic groups, we apply small area estimation to refine the estimates. We present examples of how this data can be used to better understand relationships between economic growth and labor market outcomes by demographic group.",https://www.bea.gov//research/papers/2023/introducing-demographic-labor-market-data-us-national-accounts,WP2023-6,2023-06-21,BEA
NBER31457,"Monopsony, Efficiency, and the Regularization of Undocumented Immigrants","['George J. Borjas', 'Anthony Edo']","In May 1981, President François Mitterrand regularized the status of undocumented immigrant workers in France. The newly legalized immigrants represented 12 percent of the non-French workforce and about 1 percent of all workers. Employers have monopsony power over undocumented workers because the undocumented may find it costly to participate in the open labor market and have restricted economic opportunities. By alleviating this labor market imperfection, a regularization program can move the market closer to the efficient competitive equilibrium and potentially increase employment and wages for both the newly legalized and the authorized workforce. Our empirical analysis reveals that the Mitterrand regularization program particularly increased employment and wages for low-skill native and immigrant men, and raised French GDP by over 1 percent.",https://www.nber.org/papers/w31457,31457,July 2023,NBER
FED-BOARD2023-043,College Networks and Re-employment of Displaced Workers,"Ben Ost, Weixiang Pan, and Douglas Webber","We provide the first evidence on the role of college networks in the re-employment of displaced workers. An extensive literature examines the consequences of layoffs, but the factors which facilitate re-employment are relatively under-studied. Using administrative data and a cross-cohort design, we find that network connections with actively-hiring employers increase the re-employment rate. This result is driven by re-employment at contact’s firms suggesting that a stronger network does not improve worker quality more broadly. These results suggest that college has the potential to improve employment outcomes beyond improved human capital and signaling.",https://www.federalreserve.gov/econres/feds/college-networks-and-re-employment-of-displaced-workers.htm,2023-043,June 2023,FED-BOARD
NBER31495,Conservation Priorities and Environmental Offsets: Markets for Florida Wetlands,"['Daniel Aronoff', 'Will Rafey']","We introduce an empirical framework for valuing markets in environmental offsets. Using newly-collected data on wetland conservation and offsets, we apply this framework to evaluate a set of decentralized markets in Florida, where land developers purchase offsets from a small number of long-lived producers that restore wetlands over time. We find that offsets led to substantial private gains from trade, creating about $2.2 billion of net surplus from 1995–2018 relative to a historical conservation mandate. Offset trading also led to large differences in hydrological outcomes, driven by significant differences between restored and existing wetlands in terms of area and location. A locally differentiated Pigouvian tax on offset transactions would have prevented $1.3 billion of new flood damage while preserving more than two-thirds of the private gains from trade.",https://www.nber.org/papers/w31495,31495,July 2023,NBER
FED-BOARD2023-002,Welfare and Spending Effects of Consumption Stimulus Policies,"Christopher Carroll, Edmund Crawley, Ivan Frankovic, and Håkon Tretvoll","Using a heterogeneous agent model calibrated to match measured spending dynamics over four years following an income shock (Fagereng, Holm, and Natvik (2021)), we assess the effectiveness of three fiscal stimulus policies employed during recent recessions. Unemployment insurance (UI) extensions are the clear ""bang for the buck"" winner, especially when effectiveness is measured in utility terms. Stimulus checks are second best and have the advantage (over UI) of being scalable to any desired size. A temporary (two-year) cut in the rate of wage taxation is considerably less effective than the other policies and has negligible effects in the version of our model without a multiplier.",https://www.federalreserve.gov/econres/feds/welfare-and-spending-effects-of-consumption-stimulus-policies.htm,2023-002,January 2023,FED-BOARD
NBER31441,Policy Diffusion Through Elections,"['Hitoshi Shigeoka', 'Yasutora Watanabe']","Staggered difference-in-differences designs are pervasive in policy evaluations but little is known about the mechanisms of policy diffusion: How and why do such policies spread across jurisdictions? In this study, we highlight the role of elections in policy diffusion in settings where municipal elections are asynchronous due to historical reasons. First, we empirically show the presence of policy diffusion using neighbors’ election cycles as instruments for neighbors’ policy adoption. Second, we further demonstrate interactions of municipalities’ election cycles with neighbors’ adoption and show that they follow neighbors’ policy only during their own election timing, indicating that policy diffuses through elections.",https://www.nber.org/papers/w31441,31441,July 2023,NBER
NBER31449,War and Science in Ukraine,"['Ina Ganguli', 'Fabian Waldinger']","We discuss the impacts of the Russian invasion on Ukrainian science. Using newly collected data, we show that the war has already had significant effects on science in Ukraine: research papers produced by Ukrainian scientists declined by about 10%, approximately 5% of the most prolific scientists are publishing with a foreign affiliation, 22% of top universities have faced destruction of physical capital, and international collaborations with Russian scientists have declined by more than 40%. Drawing upon the economics of science and innovation literature, we highlight three primary channels through which wars impact science: (1) the loss of human capital, (2) the destruction of physical capital, and (3) reductions in international scientific cooperation. The evidence from the literature on the long-run effects of losing human or physical capital indicates that shocks to physical capital can be remedied more easily than shocks to human capital. Our new data also suggests that human capital shocks are the main drivers of the reduction in Ukrainian research output that has occurred since the beginning of the war. Hence, reconstruction efforts that focus on supporting scientists to continue in the research sector, and return to Ukraine after the war has ended, are likely to have the greatest impact on long-run scientific productivity in Ukraine.",https://www.nber.org/papers/w31449,31449,July 2023,NBER
ECB2835,"Innovation, industry equilibrium, and discount rates","Maria Cecilia Bustamante , Francesca Zucchi","We develop a model to examine how discount rates affect the nature and composition of innovation within an industry. Challenging conventional wisdom, we show that higher discount rates do not discourage firm innovation when accounting for the industry equilibrium. Higher discount rates deter fresh entry—effectively acting as entry barriers—but encourage innovation through the intensive margin, which can lead to a higher industry innovation rate on net. Simultaneously, high discount rates foster explorative over exploitative innovation. The model rationalizes observed patterns of innovation cyclicality, and predicts that lower entry in downturns hedges innovating incumbents against higher discount rates.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2835~f2bfa5dc7b.en.pdf,2835,"Tue, 01 Aug 2023 11:00:00 +0200",ECB
ECB2830,Density forecasts of inflation: a quantile regression forest approach,"Density forecasts of inﬂation: a quantile regression forest approach Michele Lenza , Inès Moutachaker , Joan Paredes","Density forecasts of euro area inflation are a fundamental input for a medium-term oriented central bank, such as the European Central Bank (ECB). We show that a quantile regression forest, capturing a general non-linear relationship between euro area (headline and core) inflation and a large set of determinants, is competitive with state-of-the-art linear benchmarks and judgemental survey forecasts. The median forecasts of the quantile regression forest are very collinear with the ECB point inflation forecasts, displaying similar deviations from “linearity”. Given that the ECB modelling toolbox is overwhelmingly linear, this finding suggests that the expert judgement embedded in the ECB forecast may be characterized by some mild non-linearity.",https://www.ecb.europa.eu//pub/pdf/scpwps/ecb.wp2830~81049ee58f.en.pdf,2830,"Fri, 14 Jul 2023 11:00:00 +0200",ECB
NBER31452,Tax Losses and Ex-Ante Offshore Transfer of Intellectual Property,"['Rishi Sharma', 'Joel Slemrod', 'Michael Stimmelmayr']","We develop a positive model of multinational firm behavior and analyze a firm’s incentive to transfer an intellectual property (IP) right of uncertain value offshore ex ante, i.e. before its success or failure is realized. Our analysis highlights two major aspects of this decision. First, an asymmetric treatment of project gains and losses in the home country creates an incentive to transfer IP to a foreign lowtax country to avoid potentially negative profits at home. These incentives exist even when IP is priced at a fair arms-length price and are further strengthened in the presence of R&D tax incentives. Second, when multinationals have private information about the probability of project success, they have an incentive to transfer their most promising IP ex ante.",https://www.nber.org/papers/w31452,31452,July 2023,NBER
FED-BOARD2023-011,Using U.S. Business Registry Data to Corroborate Corporate Identity: Case Study of the Legal Entity Identifier,William Treacy and Scott Okrent,"This paper offers a fresh perspective on fundamental issues in using official incorporation records to corroborate the identity of corporate entities by comparing two publicly-available sets of information, namely, business registry incorporation records and reference data from the Legal Entity Identifier (LEI) system, with some focus on the monitoring function performed by LEI issuers as agents for LEI data users. Three modes of analysis are used to consider these issues, high-level analysis of LEI system data about U.S. entities with LEIs, interviews conducted with U.S. business registries, and entity-level comparisons of business registry and LEI records for entities with LEIs incorporated in the states of Ohio and Massachusetts. The fresh perspective provided here includes attention to key comparison issues such as truncation of Legal Names in official records; significant state-level variation in requirements to provide business address information in incorporation records or periodic reports; recognition that some key business register data may not be readily available or available only at a cost; whether in this context enhancements can be made to the expectations for, and disclosures by, LEI issuers in their monitoring role; and to what extent the high incidence of non-renewal of LEIs might play a role in the quality of LEI reference data. The paper develops measures of scope and degree for many key issues that can arise in using business registry information within an identity-corroboration context. The exceptional transparency of the LEI system allows for detailed comparisons that connect its data quality and value proposition with its sources and methods.",https://www.federalreserve.gov/econres/feds/using-us-business-registry-data-to-corroborate-corporate-identity.htm,2023-011,February 2023,FED-BOARD
FED-BOARD2023-023,Workplace Automation and Corporate Liquidity Policy,"Thomas W. Bates, Fangfang Du, Jessie Jiaxu Wang","Using an occupational probability of computerization, we measure a firm’s ability to replace labor with automated capital. Our evidence suggests that the potential to automate a workforce enhances operating flexibility, allowing firms to hold less precautionary cash. To provide evidence for this mechanism, we exploit the 2011–2012 Thailand hard drive crisis as an exogenous shock to the cost of automation. In addition, the negative relation between prospective automation and cash holdings is greater for firms with a lower expected cost of worker displacement and greater labor-induced operating leverage.",https://www.federalreserve.gov/econres/feds/workplace-automation-and-corporate-liquidity-policy.htm,2023-023,April 2023,FED-BOARD
BIS1094,The foreign exchange market," Alain Chaboud, Dagfinn Rime and Vladyslav Sushko","This chapter discusses the structure and functioning of the spot foreign exchange (FX) market. The market structure, which has become far more complex over the past three decades, has mostly evolved endogenously as the global FX market is subject to notably less regulatory oversight than equity and bond markets in most countries.",http://www.bis.org/publ/work1094.htm,1094,2023-04-27T12:00:00Z,BIS
BIS1103,Privacy regulation and fintech lending," Sebastian Doerr, Leonardo Gambacorta, Luigi Guiso and Marina Sanchez del Villar","Individuals have concerns about sharing data, but without access to personal information data-intensive fintechs cannot prosper, nor consumers benefit from their services. Well-designed privacy protection regulation needs to address this conflict.",http://www.bis.org/publ/work1103.htm,1103,2023-06-02T12:00:00Z,BIS
BIS1089,Intraday liquidity around the world," Biliana Alexandrova Kabadjova, Anton Badev, Saulo Benchimol Bastos, Evangelos Benos, Freddy Cepeda- Lopéz, James Chapman, Martin Diehl, Ioana Duca-Radu, Rodney Garratt, Ronald Heijmans, Anneke Kosse, Antoine Martin, Thomas Nellen, Thomas Nilsson, Jan Paulick, Andrei Pustelnikov, Francisco Rivadeneyra, Mario Rubem do Coutto Bastos and Sara Testi","We study intraday liquidity usage and its determinants using a unique cross-country data set on large-value payments. We document that the amount of intraday liquidity that financial institutions around the world use each day equals, on average, 15% of their total daily payment values or 2.8% of their countries' GDP.",http://www.bis.org/publ/work1089.htm,1089,2023-04-14T13:00:00Z,BIS
NBER31412,Effects of the Expanded Child Tax Credit on Household Spending: Estimates Based on U.S. Consumer Expenditure Survey Data,"['Jake Schild', 'Sophie M. Collyer', 'Thesia Garner', 'Neeraj Kaushal', 'Jiwan Lee', 'Jane Waldfogel', 'Christopher T. Wimer']","The Child Tax Credit (CTC) was substantially expanded through the American Rescue Plan Act of 2021, making the benefit more generous, fully refundable, and more periodic. Early studies documented the positive impact of the expanded CTC on reducing poverty and food insufficiency, but there is little research on the impact it had on household spending and, specifically, its impact on child-related spending. We use data from the Consumer Expenditure Interview Survey (CE) and impute CTC payments for all qualifying households to examine whether the expanded CTC increased spending overall, in major categories, and on specific items related to children's education and development. Our findings indicate that families utilized the CTC payments to enhance the well-being of both their children and the entire household. For each $100 of imputed CTC payment, our models show that families spent $75, mainly on food ($28), housing ($31), and child-related goods and services ($15). We also found that the spending response for low-income households, Hispanic households, and non-Hispanic Black households was larger than the spending response of the average household. By analyzing the variation in spending response by race and ethnicity, we are providing policy makers with valuable insights into the experience of marginalized communities.",https://www.nber.org/papers/w31412,31412,July 2023,NBER
NBER31480,"Household Mobility, Networks, and Gentrification of Minority Neighborhoods in the US","['Fernando V. Ferreira', 'Jeanna H. Kenney', 'Benjamin Smith']","We study how recent gentrification shocks impact Black and Hispanic neighborhoods, including where minority households move to after a shock and if the subsequent spatial distribution of households within a labor market area affects segregation. We first report that household moves from a given neighborhood are concentrated to a few destinations. For minority neighborhoods, destinations tend to have similar minority shares but are farther away from downtown. Those mobility patterns are partially explained by neighborhood networks. We then use Bartik-style labor market income shocks to show that gentrification has many effects. In Black neighborhoods, gentrification increases house prices and reduces the share of Black households while increasing the share of White households. For movers from Black neighborhoods, gentrification increases the share of movers going to top 1 and 2 destinations based on neighborhood networks and increases the share of households moving out of the MSA, but does not change the pattern of households moving to neighborhoods with similar Black shares that are farther away from downtown areas. Hispanic neighborhoods have negligible effects from gentrification. Finally, our model reveals that overall labor market area segregation decreases after a gentrification shock because highly Black neighborhoods become less segregated.",https://www.nber.org/papers/w31480,31480,July 2023,NBER
BIS1109,Original sin redux: role of duration risk," Carol Bertaut, Valentina Bruno and Hyun Song Shin",We highlight the role of duration and exchange rate risks on portfolio flows by using a unique and comprehensive database of US investor flows into emerging market government bonds denominated in local currency.,http://www.bis.org/publ/work1109.htm,1109,2023-07-07T12:00:00Z,BIS
NBER31479,Consequences of a Shortage and Rationing: Evidence from a Pediatric Vaccine,"['Eli B. Liebman', 'Emily C. Lawler', 'Abe Dunn', 'David B. Ridley']","Shortages and rationing are common in health care, yet we know little about the consequences. We examine an 18-month shortage of the pediatric Haemophilus Influenzae Type B (Hib) vaccine. Using insurance claims data and variation in shortage exposure across birth cohorts, we find that the shortage reduced uptake of high-value primary doses by 4 percentage points and low-value booster doses by 26 percentage points. This suggests providers largely complied with rationing recommendations. In the long-run, catch-up vaccination occurred but was incomplete: shortage-exposed cohorts were 4 percentage points less likely to have received their booster dose years later. We also find that the shortage and rationing caused provider switches, extra provider visits, and negative spillovers to other care.",https://www.nber.org/papers/w31479,31479,July 2023,NBER
FED-NEWYORK1047,"Financial Sanctions, SWIFT, and the Architecture of the International Payments System","Marco Cipriani, Linda S. Goldberg, and Gabriele La Spada","Financial sanctions, alongside economic sanctions, are components of the toolkit used by governments as part of international diplomacy. The use of sanctions, especially financial, has increased over the last seventy years. Financial sanctions have been particularly important whenever the goals of the sanctioning countries were related to democracy and human rights. Financial sanctions restrict entities—countries, businesses, or even individuals—from purchasing or selling financial assets, or from accessing custodial or other financial services. They can be imposed on a sanctioned entity’s ability to access the infrastructures that are in place to execute international payments, irrespective of whether such payments underpin financial or real activity. This article explains how financial sanctions can be designed to limit access to the international payments system and, in particular, the SWIFT network, and provides some recent examples.",https://www.newyorkfed.org/research/staff_reports/sr1047.html,1047,January 2023,FED-NEWYORK
NBER31504,Learning and Expectations in Dynamic Spatial Economies,"['Jingting Fan', 'Sungwan Hong', 'Fernando Parro']","The impact of shocks in dynamic environments depends on how forward-looking agents anticipate the path of future fundamentals that shape their decisions. We incorporate flexible beliefs about future fundamentals in a general class of dynamic spatial models, allowing beliefs to be evolving, uncertain, and heterogeneous across groups of agents. We show how to implement our methodology to study both ex-ante and ex-post shocks to fundamentals. We apply our method to two settings—an ex-ante study of the economic impacts of climate change, and an ex-post evaluation of the China productivity shock on the U.S. economy. In both cases, we study the impact of deviations from perfect foresight on different outcomes.",https://www.nber.org/papers/w31504,31504,July 2023,NBER
IMFWPIEA2023146,The Anatomy of Monetary Policy Transmission in an Emerging Market,Kodjovi M. Eklou,"Monetary policy transmission in EMs has been found to be weak historically due to under-developed financial markets and heavy central bank intervention in FX markets that undermine the exchange rate channel. Against this background, this paper investigates the transmission of monetary policy, including the role of external factors, in Malaysia and highlight findings that could be relevant for other EMs. We find an important role for the credit and the exchange rate channels. Further, we also find a complementary role for policy tools including Foreign Exchange Intervention (FXI) and liquidity tools such as Statutory Reserve Requirement in shaping the transmission of monetary policy. We then explore the spillover effects of external global factors including global monetary policy and global commodity prices on monetary policy transmission in a small open economy such as Malaysia. The results show that while global commodity prices do not impair monetary policy transmission, global monetary policy tightening could complement domestic efforts to achieve price stability by inducing a global disinflation. Finally, monetary policy transmission is delayed and weakened in high inflationary environment, with the implication that more aggressive and preemptive policy actions may be needed in such cases.",https://www.imf.org/en/Publications/WP/Issues/2023/07/07/The-Anatomy-of-Monetary-Policy-Transmission-in-an-Emerging-Market-535467,WPIEA2023146,"Fri, 07 Jul 2023 00:00:00 -0400",IMF
BIS1110,Fiscal sources of inflation risk in EMDEs: the role of the external channel," Ryan Niladri Banerjee, Valerie Boctor, Aaron Mehrotra and Fabrizio Zampolli","We examine how changes in fiscal deficits affect near-term future inflation in a panel of emerging market and developing economies (EMDEs). Using a novel method for quantile panel regressions with fixed effects, we find that an increase in the fiscal deficit has highly non-linear effects on inflation - that is, a larger impact on upside tail risks than on average inflation.",http://www.bis.org/publ/work1110.htm,1110,2023-07-12T12:00:00Z,BIS
NBER31438,Political Preferences and the Spatial Distribution of Infrastructure: Evidence from California's High-Speed Rail,"['Pablo D. Fajgelbaum', 'Cecile Gaubert', 'Nicole Gorton', 'Eduardo Morales', 'Edouard Schaal']","How do political preferences shape transportation policy? We study this question in the context of California's High-Speed Rail (CHSR). Combining geographic data on votes in a referendum on the CHSR with a model of its expected economic benefits, we estimate the weight of economic and non-economic considerations in voters' preferences. Then, comparing the proposed distribution of CHSR stations with alternative placements, we use a revealed-preference approach to estimate policymakers' preferences for redistribution and popular approval. While voters did respond to expected real-income benefits, non-economic factors were a more important driver of the spatial distribution of voters' preferences for the CHSR. While the voter-approved CHSR would have led to modest income gains, proposals with net income losses also would have been approved due to political preferences. For the planner, we identify strong preferences for popular approval. A politically-blind planner would have placed the stations closer to dense metro areas in California.",https://www.nber.org/papers/w31438,31438,July 2023,NBER
FED-BOARD2023-046,"Termination of SNAP Emergency Allotments, Food Sufficiency, and Economic Hardships",Kabir Dasgupta and Alexander Plum,"To meet the rising need for food and nutrition assistance during the pandemic in the United States, all states were approved to provide Emergency Allotments (EA) to households enrolled in the Supplemental Nutrition Assistance Program (SNAP). In this analysis, we use the Census Bureau’s Household Pulse Surveys and exploit staggered state-level variation in dissolution of the SNAP EA payments to study whether the end of EA is associated with food-related challenges and economic hardships. Our findings indicate that EA termination is followed by a decrease in the likelihood that adult survey respondents had sufficient food for consumption and an increase in the probability of experiencing difficulty in paying meeting with usual household expenses. These findings provide policy-relevant insights into the potential impact of the nationwide termination of the EA payments that came into effect in early 2023.",https://www.federalreserve.gov/econres/feds/termination-of-snap-emergency-allotments-food-sufficiency-and-economic-hardships.htm,2023-046,July 2023,FED-BOARD
BFI2022-47,Doing Business Far from Home: Multinational Firms and Labor Market Outcomes in Saudi Arabia,"Alessandra González, Xianglong Kong","We study the labor market outcomes at foreign firms in a host country with differing deep-seated cultural norms. We analyze unique employer-employee matched data of the private sector in Saudi Arabia and find that, relative to domestic firms, foreign firms pay higher wages but hire a smaller share of Saudi and female workers. Moreover, the differences in worker shares between foreign and domestic firms cannot be fully rationalized by wage differentials. To better understand these findings, we develop a model of heterogeneous workers and firms and consider the role of productivity and amenities in determining wage and employment outcomes. We estimate a foreign wage premium ranging from 13% to 21% depending on worker demographics. In addition, we find that workers enjoy better amenities at foreign firms overall, with the exception of female workers. Workers at foreign firms coming from countries that are culturally close to the host country face lower wage premiums but higher amenities. We conclude that accounting jointly for productivity, amenities, and cultural norms is important in understanding the labor market outcomes of foreign firms in a setting in which home and host country cultural norms depart.",https://bfi.uchicago.edu/working-paper/doing-business-far-from-home-multinational-firms-and-labor-market-outcomes-in-saudi-arabia/,2022-47,"Jul 28, 2023",BFI
