Title,Author,Abstract,Link,Number,Date,Source,est_PubDate
Technology and Labor Displacement: Evidence from Linking Patents with Worker-Level Data,"Leonid Kogan, Dimitris Papanikolaou, Lawrence D.W. Schmidt, Bryan Seegmiller","We develop measures of labor-saving and labor-augmenting technology exposure using textual analysis of patents and job tasks. Using US administrative data, we show that both measures negatively predict earnings growth of individual incumbent workers. While labor-saving technologies predict earnings declines and higher likelihood of job loss for all workers, labor-augmenting technologies primarily predict losses for older or highly-paid workers. However, we find positive effects of labor-augmenting technologies on occupation-level employment and wage bills. A model featuring labor-saving and labor-augmenting technologies with vintage-specific human capital quantitatively matches these patterns. We extend our analysis to predict the effect of AI on earnings.",https://www.nber.org/papers/w31846,31846,23-Nov,NBER,11/13/2023
Identification using Revealed Preferences in Linearly Separable Models,"Nikhil Agarwal, Pearl Z. Li, Paulo J. Somaini","Revealed preference arguments are commonly used when identifying models of both single-agent decisions and non-cooperative games. We develop general identification results for a large class of models that have a linearly separable payoff structure. Our model allows for both discrete and continuous choice sets. It incorporates widely studied models such as discrete and hedonic choice models, auctions, school choice mechanisms, oligopoly pricing and trading games. We characterize the identified set and show that point identification can be achieved either if the choice set is sufficiently rich or if a variable that shifts preferences is available. Our identification results also suggests an estimation approach. Finally, we implement this approach to estimate values in a combinatorial procurement auction for school lunches in Chile.",https://www.nber.org/papers/w31868,31868,23-Nov,NBER,11/13/2023
"Financial Windfalls, Portfolio Allocations, and Risk Preferences","Joseph S. Briggs, David Cesarini, Sean Chanwook Lee, Erik Lindqvist, Robert Östling","We investigate the impact of financial windfalls on household portfolio choices and risk exposure. Exploiting the randomized assignment of lottery prizes in three Swedish lotteries, we find a windfall gain of $100K leads to a 5-percentage-point decrease in the risky share of household portfolios. We show theoretically that negative wealth effects are consistent with both constant and decreasing relative risk aversion and analyze how our empirical estimates help distinguish between competing models of portfolio choice. We further show our results are quantitatively aligned with the predictions of a calibrated dynamic portfolio choice model with nontradable human capital and consumption habits.",https://www.nber.org/papers/w31864,31864,23-Nov,NBER,11/13/2023
Do Water Audits Work?,"Jesper Akesson, Robert W. Hahn, Rajat Kochhar, Robert D. Metcalfe","Water suppliers are showing greater interest in using different mechanisms to promote conservation. One such mechanism is conducting home water audits, which involves assessing water use and providing tailored suggestions for conserving water for residential customers. Yet, very little is known about the economic impacts of these water audits. This paper helps fill this gap by implementing a natural field experiment in the United Kingdom. The experiment involves randomly allocating 45,000 water customers to a control group or to treatment groups that receive different behavioral encouragements to take-up an online water audit. Our analysis yields three main findings. First, encouraging subjects to participate in an audit with financial incentives reduces household consumption by about 17 percent over two months. Furthermore, we find that the size of the financial incentive used to encourage conservation matters for take-up, but not conservation. Second, notwithstanding these improvements in water conservation, the per capita net benefits of the intervention are close to zero under a wide range of assumptions. We also implement a marginal value of public funds approach that considers benefits and costs and we reach a similar conclusion. Third, we find that targeting of high users could double the effectiveness of the financial incentive interventions.",https://www.nber.org/papers/w31831,31831,23-Nov,NBER,11/13/2023
A Framework for Geoeconomics,"Christopher Clayton, Matteo Maggiori, Jesse Schreger","Governments use their countries’ economic strength from existing financial and trade relationships  to achieve geopolitical and economic goals. We refer to this practice as geoeconomics. We build a framework based on three core ingredients: input output linkages, limited contract enforceability, and externalities. Geoeconomic power arises from the ability to jointly exercise threats arising from separate economic activities.  Being able to retaliate against a deviating country across multiple arenas, often involving indirect threats from third parties also being pressured, increases the off equilibrium threats and, thus, helps in equilibrium to increase enforceability. A world hegemon, like the United States, exerts its power on firms and governments in its economic network by asking these entities to take costly actions that benefit the hegemon. We characterize the optimal actions and show that they take the form of mark-ups on goods or higher rates on lending, but also import restrictions and tariffs. The input-output amplification makes controlling some sectors more valuable for the hegemon since changes in the allocation of these strategic sectors have a larger influence on the world economy. This formalizes the idea of economic coercion as a combination of strategic pressure and costly actions. We apply the framework to two leading examples: national security externalities and the Belt and Road Initiative.",https://www.nber.org/papers/w31852,31852,23-Nov,NBER,11/13/2023
Do banks practice what they preach? Brown lending and environmental disclosure in the euro area,"Leonardo Gambacorta, Salvatore Polizzi, Alessio Reghezza, Enzo Scannella","This study examines whether the level of environmental disclosure in banks’ financial reports matches less brown lending portfolios. Using granular credit register data and detailed information on firm-level greenhouse gas emission intensities, we find a negative relationship between environmental disclosure and brown lending. However, this effect is contingent on the tone of the financial report. Banks that express a negative tone, reflecting genuine concern and awareness of environmental risks, tend to lend less to more polluting firms. Conversely, banks that express a positive tone, indicating lower concern and awareness of environmental risks, tend to lend more to polluting firms. These findings highlight the importance of increasing awareness of environmental risks, so that banks perceive them as a critical and urgent pressing threat, leading to a genuine commitment to act as environmentally responsible lenders.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2872~b91ebffb71.en.pdf?b21c1346272b8634718a98691ff7b90f,2872,10-Nov-23,ECB,11/13/2023
Designing Difference in Difference Studies With Staggered Treatment Adoption: Key Concepts and Practical Guidelines,"Seth M. Freedman, Alex Hollingsworth, Kosali I. Simon, Coady Wing, Madeline Yozwiak","Difference-in-Difference (DID) estimators are a valuable method for identifying causal effects in the public health researcher’s toolkit. A growing methods literature points out potential problems with DID estimators when treatment is staggered in adoption and varies with time. Despite this, no practical guide exists for addressing these new critiques in public health research. We illustrate these new DID concepts with step-by-step examples, code, and a checklist. We draw insights by comparing the simple 2 × 2 DID design (single treatment group, single control group, two time periods) with more complex cases: additional treated groups, additional time periods of treatment, and with treatment effects possibly varying over time. We outline newly uncovered threats to causal interpretation of DID estimates and the solutions the literature has proposed, relying on a decomposition that shows how the more complex DID are an average of simpler 2X2 DID sub-experiments.",https://www.nber.org/papers/w31842,31842,23-Nov,NBER,11/13/2023
The Active Role of the Natural Rate of Unemployment during Cyclical Recoveries,"Robert E. Hall, Marianna Kudlyak","We propose that the natural rate of unemployment has an active role in the business cycle, in contrast to the prevailing view that the rate is essentially constant. We demonstrate that this tendency to treat the natural rate as near-constant would explain the surprisingly low slope of the Phillips curve. We show that the natural rate closely tracked the actual rate during the long recovery that began in 2009 and ended in 2020. We explain how the common finding of research in the Phillips-curve framework of low---often extremely low---response of inflation to unemployment could be the result of fairly close tracking of the natural rate and the actual rate in recoveries. Our interpretation of the data contrasts to that of most Phillips-curve studies, that conclude that inflation has little relation to unemployment. We suggest that the flat Phillips curve is an illusion caused by assuming that the natural rate of unemployment has little or no movement during recoveries.",https://www.nber.org/papers/w31848,31848,23-Nov,NBER,11/13/2023
The Effects of the Federal Reserve Chair’s Testimony on Interest Rates and Stock Prices,"Matthew V. Gordon, Kurt G. Lunsford","We study how congressional testimony about monetary policy by the Chair of the Board of Governors of the Federal Reserve System affects interest rates and stock prices. First, we study testimony associated with the Federal Reserve’s Monetary Policy Reports (MPRs) to Congress. Testimony for a particular MPR is usually given on two days, one day for each chamber of Congress. We separately study the first day and second day of MPR testimony. We also study testimonies not associated with MPRs but that are still related to monetary policy. We find that first-day MPR testimonies cause the largest movements in interest rates and generate negative co-movement between interest rates and stock prices. Testimonies not associated with MPRs have similar but weaker effects. Second-day MPR testimonies cause the smallest movements in interest rates and generate no co-movement between interest rates and stock prices.",https://www.clevelandfed.org/publications/working-paper/wp-2326-federal-reserve-chairs-testimony-effects,23-26,11.13.2023,FED-CLEVELAND,11/14/2023
Black Mayors and Crime,Craig Sylvera,"Local elections are often contested on the grounds of public safety, but do elected officials have any power to curb crime or poor police behavior? Black mayors have particular interest in the issue because Black communities are routinely victimized by high levels of crime and fragile police-community relations. Using data on elections of first-time Black mayors, I find that police forces add more Black officers, a finding that is especially true for mayors with executive authority. Officers arrest 48 fewer potential Black offenders per 10,000 Black residents for crimes where they have the ability to exercise discretion, a finding commensurate with the overall reduction in crime. This effect is not visible for similar white arrests. Using changes in the levels of arrests and officers induced by pivotal Black elections, I then estimate the correlation of an additional officer on race-specific arrests. An additional Black officer is related to large reductions in discretionary Black arrests, perhaps suggesting increasing the presence and visibility of Black officers may offer a solution to the “over-policing, under-policing” problem Black communities face.",https://www.clevelandfed.org/publications/working-paper/wp-2327-black-mayors-and-crime,23-27,11.14.2023,FED-CLEVELAND,11/14/2023
"Decomposing Lifetime-earnings Differences between White, Black, and Hispanic Families","Hope Bodenschatz, Gerald E. Daniels Jr., and Jeffrey P. Thompson","This paper explores disparities between White, Black, and Hispanic families using a measure of lifetime earnings developed by Jacobs et al. (2022) for the Survey of Consumer Finances (SCF). Lifetime earnings are a particularly important measure of well-being, with relevance for wealth accumulation among other economic and social outcomes, but they are under-studied in the context of racial disparities. We describe how the different components of lifetime earnings—including annual earnings of workers, number of working household members, and number of years of employment during the working life—vary by race. We then decompose the differences in lifetime earnings using the recentered influence function and show that human capital-related variables, including educational attainment and years of full-time employment, account for most of the observed differences in lifetime earnings between White, Black, and Hispanic families. We also explore the contribution of business ownership to explained disparities in lifetime earnings and find that it is significant and that business ownership’s explanatory power increases at the top of the lifetime-earnings distribution.",https://www.bostonfed.org/publications/research-department-working-paper/2023/decomposing-lifetime-earnings-differences-between-white-black-and-hispanic-families,23-14,14-Nov-23,FED-BOSTON,11/14/2023
Demographics and Real Interest Rates Across Countries and Over Time,"Carlos Carvalho, Andrea Ferrero, Felipe Mazin, Fernanda Nechio","We explore the implications of demographic trends for the evolution of real interest rates across countries and over time. To that end, we develop a tractable three-country general equilibrium model with imperfect capital mobility and country-specific demographic trends. We calibrate the model to study how low-frequency movements in a country's real interest rate depend on its own and other countries' demographic factors, given a certain degree of financial integration. The more financially integrated a country is, the higher the sensitivity of its real interest rate to global developments is, and the less its own real rate determinants matter. We then estimate panel error correction models relating real interest rates to many of its possible determinants-demographics included-imposing some restrictions motivated by lessons from our structure model. Results corroborate the importance of accounting for time-varying financial integration, and show global factors and life expectancy are relevant determinants of real interest rates.",https://www.frbsf.org/economic-research/publications/working-papers/2023/32/,2023-32,10/1/2023,FED-SANFRANCISCO,11/15/2023
Dollar and government bond liquidity: evidence from Korea, Jieun Lee,"Using unique tick-by-tick data from an exchange, this paper examines the relationship between the US dollar and liquidity in the Korean government (Treasury) bond market. We find that a strong US dollar deteriorates the Treasury market's liquidity by increasing the bid-ask spread and the price impact and lowering market depth.",https://www.bis.org/publ/work1145.htm,https://www.bis.org/publ/work1145,11/15/2023,BIS,11/15/2023
Partisan Traps,"Ethan Bueno de Mesquita, Wioletta Dziuda","The desire to stifle political competition may lead elected officials to eschew common-interest reforms and focus instead on zero-sum partisan conflict. By forgoing opportunities for common-interest reforms, incumbents may convince their constituents that such reforms are rarely feasible, so that policymaking is primarily about choosing partisan sides. Voters with such beliefs vote based on ideological alignment, rather than factors such as competence or honesty. This is electorally beneficial for incumbents, who are typically ideologically aligned with their constituents. We capture this logic in an infinite horizon model and characterize the resulting dynamics of politics and policymaking. Equilibrium exhibits partisan traps-voters are pessimistic about common-interest opportunities, and hence elect ideologically aligned incumbents, and incumbents respond by behaving in a purely partisan manner that shuts down voter learning. Partisan traps often occur in equilibrium even when common-interest reforms are in fact frequently feasible. The model shows how elite and mass polarization are intertwined, with politicians engaging in strategically polarized and polarizing behavior which leads to pessimistic beliefs among voters, who then vote in partisan fashion.",https://bfi.uchicago.edu/working-paper/partisan-traps/,2023-145,10-Nov-23,BFI,11/15/2023
The Active Role of the Natural Rate of Unemployment during Cyclical Recoveries,"Robert E. Hall, Marianna Kudlyak","We propose that the natural rate of unemployment has an active role in the business cycle, in contrast to the prevailing view that the rate is essentially constant. We demonstrate that this tendency to treat the natural rate as near-constant would explain the surprisingly low slope of the Phillips curve. We show that the natural rate closely tracked the actual rate during the long recovery that began in 2009 and ended in 2020. We explain how the common finding of research in the Phillips-curve framework of low-often extremely low-response of inflation to unemployment could be the result of fairly close tracking of the natural rate and the actual rate in recoveries. Our interpretation of the data contrasts to that of most Phillips-curve studies, that conclude that inflation has little relation to unemployment. We suggest that the at Phillips curve is an illusion caused by assuming that the natural rate of unemployment has little or no movement during recoveries.",https://www.frbsf.org/economic-research/publications/working-papers/2023/33/,2023-33,11/1/2023,FED-SANFRANCISCO,11/15/2023
Loss sharing in central clearinghouses: winners and losers,"Christian Kubitza, Loriana Pelizzon, Mila Getmansky Sherman","Central clearing counterparties (CCPs) were established to mitigate default losses resulting from counterparty risk in derivatives markets. In a parsimonious model, we show that clearing benefits are distributed unevenly across market participants. Loss sharing rules determine who wins or loses from clearing. Current rules disproportionately benefit market participants with flat portfolios. Instead, those with directional portfolios are relatively worse off, consistent with their reluctance to voluntarily use central clearing. Alternative loss sharing rules can address cross-sectional disparities in clearing benefits. However, we show that CCPs may favor current rules to maximize fee income, with externalities on clearing participation.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2873~8ad2dc489a.en.pdf?73348a845dba7f25a1ace7cb419c5fa4,2873,14-Nov-23,ECB,11/15/2023
Fund fragility: the role of investor base,"Nolwenn Allaire, Johannes Breckenfelder, Marie Hoerova","Using security-by-security data on investor holdings in the euro area, we study run dynamics across different fund-shares of the same fund during the unprecedented liquidity crisis in March 2020. For an average bond or equity mutual fund-share, households, other euro area funds, and the foreign sector each represent about a quarter of the total holdings. Insurance companies hold another 14%, with all other investors combined (banks, non-financial corporations, pension funds, etc.) accounting for less than 10% of holdings. Analyzing bond funds, we show that fund-shares with higher ownership by other funds suffered substantially higher outflows (by 6 percentage points), while fund-shares with higher ownership by households had substantially lower outflows (by 5 percentage points) compared to the other fund-shares within the same fund. This gap is not driven by time-varying differences in fund performance. Results for equity funds are similar, although they faced substantially smaller outflows, coupled with much larger declines in performance, compared to bond funds. Our findings suggest that a collective “dash for cash” by consumers and firms in need of liquidity at the outset of the COVID-19 pandemic was not the source of mutual fund fragility. Instead, the most run-prone investor type turned out to be the fund sector itself.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2874~af5c7c3678.en.pdf?dd12bcb5085c976c78c68a4f6ebc08b9,2874,14-Nov-23,ECB,11/15/2023
Time Use and the Efficiency of Heterogeneous Markups,"Brian C. Albrecht, Tom Phelan, Nick Pretnar","What are the welfare implications of markup heterogeneity across firms? In standard monopolistic competition models, such heterogeneity implies inefficiency even in the presence of free entry. We enrich the standard model with heterogeneous firms so that preferences are non-separable in off-market time and market consumption and show that this changes the welfare implications of markup heterogeneity. In this context, homogeneity of markups is neither necessary nor sufficient for efficiency. The marginal cost of the marginal firm is weakly inefficiently high when off-market time and market consumption are complements and inefficiently low when they are substitutes, and the equilibrium allocation devotes weakly too few resources to firm creation. However, when off-market time and market consumption are perfect complements, markups are heterogeneous across firms and yet the equilibrium allocation is efficient.",https://www.clevelandfed.org/publications/working-paper/wp-2328-time-use-and-efficiency-of-heterogeneous-markups,23-28,11.16.2023,FED-CLEVELAND,11/16/2023
What drives core inflation? The role of supply shocks,"Marta Bańbura, Elena Bobeica, Catalina Martínez Hernández","We propose a framework to identify a rich set of structural drivers of inflation in order to understand the role of the multiple and concomitant sources of the post-pandemic inflation surge. We specify a medium-sized structural Bayesian VAR on a comprehensive set of variables for the euro area economy. We analyse in particular various types of supply shocks, some of which were not considered relevant before the pandemic, notably global supply chain shocks and gas price shocks. The residuals of the VAR are assumed to admit a factor structure and the shocks are identified via zero and sign restrictions on factor loadings. The framework can deal with ragged-edge data and extreme observations. Shocks linked to global supply chains and to gas prices have exhibited a much larger influence than in the past. Overall, supply shocks can explain the bulk of the post-pandemic inflation surge, also for core inflation. Being able to gauge the impact of such shocks is useful for policy making. We show that a counterfactual core inflation measure net of energy and global supply chain shocks has been more stable after the pandemic.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2875~e585ae652b.en.pdf?f85a8b326ab051060796d6b29cd8a9d1,2875,16-Nov-23,ECB,11/16/2023
Does the World Free Ride on US Pledges to Reduce Greenhouse Gas  Emissions? Evidence from the Paris Climate Agreement,"Trevor Houser, Kate Larsen, Michael Greenstone","The US is widely believed to play a pivotal role in the development of international agreements to reduce greenhouse gas emissions, but do other countries free ride on US pledges? This paper provides what we believe is the first empirical evidence by proposing the US Climate Reciprocity Ratio (CRR); this summary statistic is the ratio of the rest of the world’s pledged reductions to the US’ pledged reductions through international climate negotiations. The analysis begins by quantifying countries’ Nationally Determined Contributions (NDCs) and Net Zero targets under the Paris Agreement by taking the difference between their pledges and leading “business as usual” projections of their emissions at the time of their pledges (e.g., from the International Energy Administration). Using these pledged reductions, there are two main findings: 1) pledged emissions reductions under the Paris Agreement, if successfully achieved, would reduce global net GHG emissions by 12% – 24% in 2030 and by 38% – 54% in 2050; and 2) the estimated CRR ranges from 2.5 to 10.8, with the upper end of the range applying to the middle of the century when the US’ share of global emissions has declined. Although pledges are not the same as reductions, these findings suggest that US climate policy can have indirect benefits by unlocking pledged reductions in other countries that benefit the US.",https://bfi.uchicago.edu/working-paper/does-the-world-free-ride-on-us-pledges-to-reduce-greenhouse-gas-emissions-evidence-from-the-paris-climate-agreement/,2023-146-1,15-Nov-23,BFI,11/16/2023
Defusing leverage: liquidity management and labor contracts,Edoardo Maria Acabbi and Andrea Alati,"This study employs Italian administrative data to investigate how the use of permanent and fixed-term labor contracts influences the transmission of aggregate shocks to firms’ fundamentals. We explore how firms strategically manage their labor-induced operating leverage by adjusting the composition of contracts in their workforce. Our findings reveal two key insights. First, a higher labor share is associated with increased volatility in cash flows following unexpected real shocks, indicating the presence of operating leverage through labor costs. Second, firms with a greater proportion of temporary contracts exhibit lower variability in cash flows and profits. This smoothing effect is more pronounced in firms with a higher labor share attributed to the permanent workforce. We complement our analysis by examining the 2001 labor market reform that lifted restrictions on the creation of temporary contracts. Our results demonstrate that firms, following the staggered implementation of the reform, increased their utilization of temporary contracts while reducing average labor compensation. Furthermore, we find that, only among firms with an ex-ante more rigid labor cost structure and in more concentrated labor markets, the earlier transition to a more flexible workforce composition led to a sizable increase in profit margins and a decrease in the cross-sectional standard deviation of profits.",https://www.bankofengland.co.uk/working-paper/2023/defusing-leverage-liquidity-management-and-labor-contracts,1051,"Fri, 17 Nov 2",BOE,11/17/2023
A Financial New Keynesian Model,"Thomas M. Mertens, Tony Zhang","This paper solves a standard New Keynesian model in terms of risk-neutral expectations and estimates it using a cross-section of longer-dated financial assets at a single point in time. Inflation risk premia appear in the theory and cause inflation to deviate from its target on average. We re-estimate the model based on each day’s closing prices to capture high-frequency changes in the expected path of the economy. Our estimates show that financial markets reacted to the post-COVID surge in inflation with higher short-run inflation expectations, an increase in the inflation risk premium, and an increase in the long-run neutral real rate, 𝑟∗, while long-term inflation expectations remained well anchored. Our model produces long term inflation forecasts that outperform several standard alternative measures.",https://www.frbsf.org/economic-research/publications/working-papers/2023/35/,2023-35,11/1/2023,FED-SANFRANCISCO,11/17/2023
Hidden exposure: measuring US supply chain reliance,"Richard Baldwin, Rebecca Freeman and Angelos Theodorakopoulos","Supply chain problems, previously relegated to specialized journals, now appear in G7 Leaders’ Communiqués. Our paper looks at three core elements of the problems: measurement of the links that expose supply chains to disruptions, the nature of the shocks that cause the disruptions, and the criteria for policy to mitigate the impact of disruptions. Utilizing global input-output data, we show that US exposure to foreign suppliers, and particularly to China, is ‘hidden’ in the sense that it is much larger than what conventional trade data suggest. However, at the macro level, exposure remains relatively modest, given that over 80% of US industrial inputs are sourced domestically. We argue that many recent shocks to supply chains have been systemic rather than idiosyncratic. Moreover, systemic shocks are likely to arise from climate change, geoeconomic tensions, and digital disruptions. Our principal conclusion is that concerns regarding supply chain disruptions, and policies to address them, should focus on individual products, rather than the whole manufacturing sector.",https://www.bankofengland.co.uk/working-paper/2023/hidden-exposure-measuring-us-supply-chain-reliance,1052,"Fri, 17 Nov 2",BOE,11/17/2023
US monetary policy spillovers to European banks,Alexander Jung,"The Federal Reserve’s (Fed) monetary policy announcements have created massive spillovers to global financial markets. Based on daily data for the sample from 1999 to 2019, this study finds that the Fed’s monetary policy announcements created significant international spillovers to bond yields and stock prices of European banks and non-financial corporations (NFCs), while changes in uncertainty around the expected Fed policy path and Fed information effects constituted critical additional dimensions of these spillover effects. International spillovers to bond yields of banks and NFCs were similar, while stock prices of European banks responded somewhat stronger than those of NFCs. The significant spillovers from the Fed’s forward guidance to European bond yields show that central bank communication is very relevant for international transmission. In relation to earlier studies emphasizing strong QE-related spillovers, this study suggests that Fed QE announcements created only small spillovers on bond yields and stock prices of European banks and NFCs.",https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2876~4bfa61fd60.en.pdf?fe4c9fc95710a2da9b411516d7739712,2876,17-Nov-23,ECB,11/17/2023
On par: A Money View of stablecoins," Iñaki Aldasoro, Perry Mehrling, Daniel H. Neilson","This paper presents a money view analysis of the recent crypto innovation of stablecoins, which have seen a remarkable rise and more recently some spectacular collapses. By analogizing on-chain with offshore, and developing an extended analogy of stablecoins with Eurodollars, we reveal the primitive character of the existing on-chain liquidity mechanism which supports the promise of par settlement by existing on-chain stablecoin models. Liquidity, not solvency, is the issue confronted by par settlement.",https://www.bis.org/publ/work1146.htm,https://www.bis.org/publ/work1146,11/17/2023,BIS,11/17/2023
Central Bank Digital Currency and Privacy: A Randomized Survey Experiment," Syngjoo Choi, Bongseob Kim, Young-Sik Kim, Ohik Kwon","Privacy protection is among the key features to consider in the design of central bank digital currency (CBDC). Using a nationally representative sample of over 3,500 participants, we conduct a randomized online survey experiment to examine how the willingness to use CBDC as a means of payment varies with the degree of privacy protection and information provision on the privacy benefits of using CBDC. We find that both factors significantly increase participants' willingness to use CBDC by up to 60% when purchasing privacy-sensitive products.",https://www.bis.org/publ/work1147.htm,https://www.bis.org/publ/work1147,11/17/2023,BIS,11/17/2023
The Optimal Supply of Central Bank Reserves under Uncertainty,"Gara Afonso, Gabriele La Spada, Thomas M. Mertens, John C. Williams","This paper provides an analytically tractable theoretical framework to study the optimal supply of central bank reserves when the demand for reserves is uncertain and nonlinear. We fully characterize the optimal supply of central bank reserves and associated market equilibrium. We find that the optimal supply of reserves under uncertainty is greater than that absent uncertainty. With a sufficient degree of uncertainty, it is optimal to supply a level of reserves that is abundant (on the flat portion of the demand curve) absent shocks. The optimal mean spread between the market interest rate and administered rates under uncertainty may be higher or lower than that absent uncertainty. Our model is consistent with the observation that the variability of interest rate spreads is a function of the level of reserves.",https://www.frbsf.org/economic-research/publications/working-papers/2023/34/,2023-34,11/1/2023,FED-SANFRANCISCO,11/17/2023
Banks versus Hurricanes: A Case Study of Puerto Rico after Hurricanes Irma and Maria,"Peter Anagnostakos, Jason Bram, Benjamin Chan, Natalia Fischl-Lanzoni, Hasan Latif, James M. Mahoney, Donald P. Morgan, Ladd Morgan, and Ivelisse Suarez","We study Puerto Rico’s experience after the severe hurricane season of 2017 to better understand how extreme weather disasters affect bank stability and their ability to lend. Despite the devastation wrought by two category 5 hurricanes in a single month, we find relatively modest and transitory impacts on bank performance with no evident decline in lending capacity. We discuss various mitigants that help limit bank exposure to extreme weather and whether these mitigants may be vulnerable given the potential for more severe and more impactful climate events.",https://www.newyorkfed.org/research/staff_reports/sr1078.html,1078,23-Nov,FED-NEWYORK,11/17/2023
"Mobile Money, Perception about Cash, and Financial Inclusion: Learning from Uganda’s Micro-Level Data","Felix F. Simione, Tara S Muehlschlegel","Will mobile money render cash less dominant over time in Africa? Can it promote financial inclusion? We shed light on these questions by exploring individual-level and nationally representative survey data for Uganda, a country in a region that pioneered mobile money in the world. We use the Propensity Score Matching method to robustly compare mobile money users and non-users across a range of indicators that capture individuals’ perceptions about cash, and the extent to which they remit, save, and borrow money. We present the first evidence that mobile money users, compared to non-users, are more likely to perceive cash as risky and less likely to prefer carrying large amounts of cash. We also confirm that mobile money users are more likely to receive and send remittances, save, and borrow. They also save and borrow larger amounts.",https://www.imf.org/en/Publications/WP/Issues/2023/11/18/Mobile-Money-Perception-about-Cash-and-Financial-Inclusion-Learning-from-Ugandas-Micro-541613,WPIEA2023238,"Fri, 17 Nov 2023 ",IMF,11/18/2023
Central Bank Digital Currency and Bank Disintermediation in a Portfolio Choice Model,"Huifeng Chang, Federico Grinberg, Lucyna Gornicka, Marcello Miccoli, Brandon  Tan","Would the introduction of a Central Bank Digital Currency (CBDC) lead to lower deposits (disintermediation) and lending in the banking sector? This paper develops a model where households heterogeneous in wealth allocate between an illiquid asset and assets that can be used for payments: bank deposits, cash, and CBDC. CBDC is more efficient as a means of payment and has lower access cost than deposits. Deposits are offered by an imperfectly competitive banking sector which raises deposit interest rates after CBDC introduction to prevent substitution away from deposits to CBDC. We find that there are two opposing margins of impact on the level of aggregate deposits: (1) the intensive margin gain in deposits by richer households increasing their holdings of deposits because of higher interest rates, and (2) the extensive margin loss of deposits among poorer households who switch from deposits to the CBDC. The extensive margin gain in deposits is more likely to dominate (yielding a fall in total deposits) when the mass of poorer households is large and when it is relatively costly to access bank accounts. This tends to be the case in developing and emerging market economies. However, even when the extensive margin loss of deposits dominates and there is disintermediation, the impact on lending is quantitatively small if banks have access to other forms of funding, such as wholesale or central bank financing.",https://www.imf.org/en/Publications/WP/Issues/2023/11/18/Central-Bank-Digital-Currency-and-Bank-Disintermediation-in-a-Portfolio-Choice-Model-541607,WPIEA2023236,"Fri, 17 Nov 2023 ",IMF,11/18/2023
Is FinTech Eating the Bank's Lunch?,"Sami Ben Naceur, Bertrand Candelon, Selim A Elekdag, Drilona Emrullahu","This paper examines how the growing presence of FinTech firms affects the performance of traditional financial institutions. The findings point to a negative impact on profitability, primarily due to a reduction in interest income and a rise in operational costs. Although established financial institutions have tried to diversify their revenue streams, these efforts have proven inadequate to offset the losses associated with increased competition from FinTech firms. Our study also reveals that various FinTech business models, such as Peer-to-Peer (P2P) lending and Balance Sheet lending, have varying effects on financial institutions. Cooperative banks experience more significant profit deterioration under both models, whereas (larger) commercial banks appear to benefit from partnerships with P2P platforms, as evidenced by an increase in non-interest income. Furthermore, the findings suggest that FinTech presence has a disproportionately larger adverse effect on banks in countries with more competitive, profitable, and developed financial systems. Interestingly, however, traditional financial institutions in countries with stronger regulatory frameworks appear to benefit from the expanding influence of FinTech firms.",https://www.imf.org/en/Publications/WP/Issues/2023/11/18/Is-FinTech-Eating-the-Bank-s-Lunch-540817,WPIEA2023239,"Fri, 17 Nov 2023 ",IMF,11/18/2023
Currencies of External Balance Sheets,"Cian Allen, Deepali Gautam, Luciana Juvenal","This paper assembles a comprehensive dataset of the currency composition of countries’ external balance sheets for 50 economies over the period 1990–2020. We document the following findings: (i) the US dollar and the euro still dominate global external balance sheets; (ii) there were striking changes in the currency composition across countries since the 1990s, with many emerging markets having moved from short to long positions in foreign currency, thus moving away from the so-called “original sin”; (iii) financial and tradeweighted exchange rates are weakly correlated, suggesting the commonly used trade indices do not adequately reflect the wealth effects of currency movements, and (iv) the large wealth transfers across countries during COVID-19 and the global financial crises increased global imbalances in the former, and reduced them in the latter.",https://www.imf.org/en/Publications/WP/Issues/2023/11/18/Currencies-of-External-Balance-Sheets-541610,WPIEA2023237,"Fri, 17 Nov 2023 ",IMF,11/18/2023
